"images/wiki-pic-of-the-day/2016-02-02 Kaiserin_Augusta_verlässt_Newyork,_Chromo-Lithographie_von_C._Saltzmann_95,_nr13_aus_G._Wislicenus,_Unsre_Kriegsflotte_-_restored,_borderless.jpg","vehicle @ 0.90905386, ship of the line @ 0.875, ocean liner @ 0.8125, windjammer @ 0.78404009, painting @ 0.75001281, east indiaman @ 0.72727275, watercolor paint @ 0.68082803, sea @ 0.64868551, watercraft @ 0.58561146, boat @ 0.56636947, caravel @ 0.5286718, battleship @ 0.51204944, ",
"images/wiki-pic-of-the-day/2016-02-04 Sidney_Hall_-_Urania's_Mirror_-_Delphinus,_Sagitta,_Aquila,_and_Antinous.jpg","fauna @ 0.66665065, ","Daneb el
L P E C U L A
et
My s
E R
shaun
a
Dshabele.
C o R N v s
AND ANTI NOUS
SKI
Par
, Daneb, el, L, P, E, C, U, L, A, et, My, s, E, R, shaun, a, Dshabele., C, o, R, N, v, s, AND, ANTI, NOUS, SKI, Par, "
images/wiki-pic-of-the-day/2016-02-05 640px-Glaucus_atlanticus_1_cropped.jpg,"jewellery @ 0.78890914, flower @ 0.661493, chandelier @ 0.60167885, natural material @ 0.54636294, branch @ 0.5012539, ",
images/wiki-pic-of-the-day/2016-02-06 Goliath_Poldermolen.jpg,"windmill @ 0.98231226, mill @ 0.97713059, machine @ 0.65283036, wind farm @ 0.52668935, ","Apna
, Apna, "
images/wiki-pic-of-the-day/2016-02-07 600px-Streathamladyjayne.jpg,"painting @ 0.94366908, person @ 0.93492079, photograph @ 0.90178573, portrait @ 0.84853464, art @ 0.82408035, lady @ 0.72689313, tourism @ 0.67973852, monarch @ 0.61939692, middle ages @ 0.56658179, outerwear @ 0.54165626, ",
images/wiki-pic-of-the-day/2016-02-08 Félix_Nadar_1820-1910_portraits_Jules_Verne_(restoration).jpg,"person @ 0.9630425, hair @ 0.95478904, painting @ 0.93080175, facial hair @ 0.93018967, photograph @ 0.90178573, photography @ 0.8803575, portrait @ 0.8699767, portrait photography @ 0.80089355, hairstyle @ 0.78919876, profession @ 0.76953387, beard @ 0.76079017, moustache @ 0.64947307, gentleman @ 0.63752884, monarch @ 0.61914712, headgear @ 0.5553062, ",
images/wiki-pic-of-the-day/2016-02-09 Hypothymis_azurea_-_Kaeng_Krachan.jpg,"bird @ 0.987075, beak @ 0.97465193, wildlife @ 0.97443914, nature @ 0.97036719, animal @ 0.95412606, blue @ 0.94251913, vertebrate @ 0.89757967, close up @ 0.74657172, bluebird @ 0.71462893, crow like bird @ 0.68181819, fauna @ 0.66665065, wren @ 0.59156114, macaw @ 0.55925703, branch @ 0.53123385, ",
images/wiki-pic-of-the-day/2016-02-10 Van_der_Grinten_projection_SW.jpg,"earth @ 0.89736605, planet @ 0.85938579, world @ 0.84046948, atmosphere @ 0.8147741, astronomical object @ 0.79691368, map @ 0.79456311, diagram @ 0.77066231, arctic ocean @ 0.74484968, atmosphere of earth @ 0.71201909, globe @ 0.62556893, illustration @ 0.56786889, circle @ 0.53129011, ",
images/wiki-pic-of-the-day/2016-02-11 Common_Leopard_Phalanta_phalantha.jpg,"plant @ 0.93223226, flower @ 0.920069, yellow @ 0.87023771, insect @ 0.85440964, flora @ 0.83126944, close up @ 0.81229168, flowering plant @ 0.8, invertebrate @ 0.78669637, macro photography @ 0.75785768, butterfly @ 0.70715058, fauna @ 0.66665065, moths and butterflies @ 0.63976765, leaf @ 0.62042642, ","le-
V""
ae
eXアreen
丿A
, le, -, V, "", ae, eX, ア, reen, 丿, A, "
images/wiki-pic-of-the-day/2016-02-12 Sega_Mega_Drive_and_Genesis.jpg,"gadget @ 0.84036255, steering wheel @ 0.74004215, multimedia @ 0.67577904, audio @ 0.66666669, mobile device @ 0.60389513, technology @ 0.54496568, game controller @ 0.52050066, ","16-BIT
, 16-BIT, "
